Date,SPY_Volume,SPY_Volume_Change
2021-07-23,63766600,0.28656299042101807
2021-07-26,43719200,-0.37744217741998654
2021-07-27,67397100,0.43281462540709725
2021-07-28,52472400,-0.2503146732106991
2021-07-29,47435300,-0.10092063980684074
2021-07-30,68951200,0.3740323307349307
2021-08-02,58783300,-0.15954120704411068
2021-08-03,58053900,-0.012485911609910971
2021-08-04,46732200,-0.2169384547813067
2021-08-05,38969700,-0.18164901347683937
2021-08-06,46930000,0.18587270871474715
2021-08-09,41222600,-0.1296704801566193
2021-08-10,43339300,0.05007319496674256
2021-08-11,44034300,0.01590903106861319
2021-08-12,38909400,-0.1237330090079567
2021-08-13,39470300,0.014312623678165437
2021-08-16,73740000,0.6249969024507287
2021-08-17,92673900,0.22854148672415064
2021-08-18,89351900,-0.03650437346137991
2021-08-19,92812200,0.03799559059979174
2021-08-20,72008700,-0.25379115161893395
2021-08-23,54973000,-0.26994478944338596
2021-08-24,38744700,-0.34984818335487944
2021-08-25,40529700,0.04504106643695849
2021-08-26,57829600,0.35546571663270754
2021-08-27,77235100,0.28935326159413677
2021-08-30,48357400,-0.4682347560547413
2021-08-31,59300200,0.20399341781885028
2021-09-01,48721400,-0.19649432005831002
2021-09-02,42501000,-0.136590753555641
2021-09-03,47170500,0.10424109213226629
2021-09-07,51671500,0.09113767506526571
2021-09-08,56181900,0.08368826870608359
2021-09-09,57970400,0.0313378944796483
2021-09-10,89948200,0.4393014136304423
2021-09-13,83738600,-0.07153390704192475
2021-09-14,78197100,-0.0684674795724618
2021-09-15,78792200,0.007581444728298692
2021-09-16,77786700,-0.012843541779222534
2021-09-17,118425000,0.4203093833960949
2021-09-20,166445500,0.3403880797000731
2021-09-21,92526100,-0.5871771616296009
2021-09-22,102350100,0.10090852226610281
2021-09-23,76396000,-0.2924689503654818
2021-09-24,62094800,-0.20726808925734375
2021-09-27,61371100,-0.01172320921605774
2021-09-28,130436300,0.7539459446792556
2021-09-29,82329200,-0.4601591407162289
2021-09-30,140506000,0.5345243482177864
2021-10-01,129240100,-0.08357827777806648
2021-10-04,128570000,-0.005198411614095733
2021-10-05,90682500,-0.3491091083617839
2021-10-06,113032200,0.22030833913800052
2021-10-07,72437500,-0.4449486127724036
2021-10-08,74557400,0.028845177424713597
2021-10-11,65233300,-0.13359922377709665
2021-10-12,71181200,0.08725866386051706
2021-10-13,72974000,0.024874474715126382
2021-10-14,70236800,-0.03823082312073112
2021-10-15,66260200,-0.05828297492298873
2021-10-18,62213200,-0.06302221940005026
2021-10-19,46996800,-0.2804876815936801
2021-10-20,49571600,0.05333857481304349
2021-10-21,41305400,-0.1824248470736265
2021-10-22,58845100,0.3539153256827099
2021-10-25,45214500,-0.26349073585372906
2021-10-26,56075100,0.2152740318764046
2021-10-27,72438000,0.25603915984772385
2021-10-28,51437900,-0.3423557687435519
2021-10-29,70162400,0.3104373001697631
2021-11-01,48433600,-0.3706187672615826
2021-11-02,48908400,0.009755373126647982
2021-11-03,52509800,0.07105065797460597
2021-11-04,52847100,0.006403019686480604
2021-11-05,66390600,0.22815264166520777
2021-11-08,50405200,-0.27546113583751364
2021-11-09,51149100,0.014650552576554787
2021-11-10,69429700,0.3055698329221812
2021-11-11,34848500,-0.6893046351837704
2021-11-12,53466700,0.4280489355321784
2021-11-15,46980500,-0.12932640820464059
2021-11-16,48857500,0.03917527592122738
2021-11-17,47858300,-0.020663336340174254
2021-11-18,50625600,0.056212815626402346
2021-11-19,57315600,0.12411546076760871
2021-11-22,72762000,0.23862100292677724
2021-11-23,73206500,0.00609037393647327
2021-11-24,61858800,-0.16842984641251135
2021-11-26,112669600,0.5996052735522781
2021-11-29,86268800,-0.2669916388052158
2021-11-30,148559600,0.5435182213522829
2021-12-01,131939200,-0.11864501411180939
2021-12-02,127637800,-0.03314464512888904
2021-12-03,137331600,0.073201873957224
2021-12-06,98977500,-0.3275058876655841
2021-12-07,95484700,-0.035926526349257415
2021-12-08,72238800,-0.27898872755261905
2021-12-09,61272600,-0.1646445367146363
2021-12-10,77159800,0.23054583505713566
2021-12-13,87724700,0.12832490566813703
2021-12-14,97264100,0.10322645744974679
2021-12-15,116899300,0.18388292130067896
2021-12-16,116568600,-0.0028329395276252
2021-12-17,135511600,0.1505773046030967
2021-12-20,107134800,-0.23496939086423296
2021-12-21,69806300,-0.4283635910723973
2021-12-22,58890200,-0.17004957046193425
2021-12-23,56439700,-0.0425018815217264
2021-12-27,56808600,0.006514911125382383
2021-12-28,47274600,-0.18371456933965646
2021-12-29,54503000,0.14228259264874055
2021-12-30,55329000,0.015041437342986796
2021-12-31,65237400,0.16473574073887676
2022-01-03,72668200,0.10787095070813635
2022-01-04,71178700,-0.020710258457704356
2022-01-05,104538900,0.3843656345832116
2022-01-06,86858900,-0.18527428797191448
2022-01-07,85111600,-0.02032162645618385
2022-01-10,119362000,0.3381975558340429
2022-01-11,74303100,-0.4740082187482706
2022-01-12,67605400,-0.09446481208361845
2022-01-13,91173100,0.29907203591646336
2022-01-14,95890900,0.050451189444238764
2022-01-18,109709100,0.13462123047424868
2022-01-19,109357600,-0.003209071042284961
2022-01-20,122379700,0.11250526034242725
2022-01-21,202271200,0.5024808645612211
2022-01-24,251783900,0.21896180871972248
2022-01-25,167997300,-0.4046232720858498
2022-01-26,186391100,0.10389924648492155
2022-01-27,149878300,-0.21802352287656035
2022-01-28,164457400,0.09282793864854355
2022-01-31,152251400,-0.07711846815241685
2022-02-01,123155400,-0.2120861293801397
2022-02-02,117361000,-0.04819231798073531
2022-02-03,118024400,0.005636728161562132
2022-02-04,118454400,0.003636693639471389
2022-02-07,84472900,-0.33809730352469813
2022-02-08,81012000,-0.04183348101775408
2022-02-09,92589900,0.1335827725813985
2022-02-10,140103700,0.4142027982724521
2022-02-11,153214600,0.08945669032522119
2022-02-14,123006300,-0.21960397945386845
2022-02-15,88482700,-0.32942852089379215
2022-02-16,84863600,-0.04176179099074062
2022-02-17,102259100,0.18646452682947157
2022-02-18,132642900,0.26015076632129563
2022-02-22,124391800,-0.06422429310538647
2022-02-23,132578000,0.06373488973411767
2022-02-24,213942900,0.47853800552060477
2022-02-25,121804500,-0.5632918565823815
2022-02-28,145615000,0.1785488520280829
2022-03-01,137785900,-0.05526512129602068
2022-03-02,117726500,-0.1573368935310242
2022-03-03,105501700,-0.10963707107679355
2022-03-04,113978200,0.07728013550752877
2022-03-07,137896600,0.19049692690990483
2022-03-08,164772700,0.17806281946539926
2022-03-09,116990800,-0.3424716491857751
2022-03-10,93972700,-0.21909098467100208
2022-03-11,95636300,0.01754814054339704
2022-03-14,95729200,0.0009709169865814715
2022-03-15,106219100,0.10398056989134474
2022-03-16,144954800,0.31091802770882637
2022-03-17,102676900,-0.3448348050236909
2022-03-18,106345500,0.035106062971070884
2022-03-21,88349800,-0.185389292594639
2022-03-22,74650400,-0.16848805272955758
2022-03-23,79426100,0.06201114729351076
2022-03-24,64736900,-0.20449566609470438
